namedate,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
2020-11-28-16-air-force,35,7,0,0,98.5,89.3,25,0.427,55,0.364,20,0.327,18,0.778,14,1,200,91,19.4,6,16,61,,9,6,0.527,29,0.241,7,52.5,31,0.48,13.7,10,26,0.5,13,0.5,1,"November 28, 2020",66.7,14,7.7,2,91,80.6,25,0.552,48,0.438,21,0.396,19,0.684,13,0,200,98.5,10.7,3,17,66,,7.5,5,0.521,25,0.44,11,47.5,28,0.579,18.7,13,23,0.435,10,1,1,"T-Mobile Arena, Las Vegas, Nevada",CAL-STATE-NORTHRIDGE,Cal State Northridge,67.3,Home,AIR-FORCE,Air Force
2020-11-29-15-air-force,66.7,16,15,3,80.4,81.8,18,0.518,57,0.421,24,0.105,6,0.667,4,0,200,112.5,25,6,13,63,,7.1,4,0.509,29,0.379,11,52.2,24,0.526,7.7,5,28,0.464,13,1,3,"November 29, 2020",56.3,9,0,0,112.5,75,18,0.475,40,0.4,16,0.2,8,0.875,7,1,200,80.4,18.2,4,15,45,,3.6,2,0.5,20,0.3,6,47.8,22,0.514,24.3,14,20,0.5,10,0.5,1,"T-Mobile Arena, Las Vegas, Nevada",AIR-FORCE,Air Force,56.3,Away,SEATTLE,Seattle
2020-12-05-15-air-force,18.8,3,15,3,95.2,95.5,21,0.33,50,0.32,16,0.32,16,0.688,11,4,200,71,15.6,5,15,44,,14.5,9,0.12,6,0.167,1,48.1,26,0.382,17.4,12,44,0.341,15,0,0,"December 5, 2020",76.2,16,9.1,4,71,84.4,27,0.622,41,0.512,21,0.268,11,0.727,8,1,200,95.2,4.5,1,16,59,,14.5,9,0.512,21,0.429,9,51.9,28,0.638,24.7,15,20,0.6,12,0.667,2,"Clune Arena , Colorado Springs, Colorado",LAMAR,Lamar,62.4,Home,AIR-FORCE,Air Force
2020-12-13-14-drake,29.4,5,0,0,122.7,60,15,0.388,49,0.347,17,0.408,20,0.75,15,2,200,80.3,10,3,12,53,,15.2,10,0.367,18,0.222,4,32.7,18,0.453,17.2,12,31,0.419,13,0.5,2,"December 13, 2020",51.6,16,6.5,2,80.3,90,27,0.655,55,0.564,31,0.255,14,0.643,9,0,200,122.7,40,10,19,81,,10.6,7,0.436,24,0.417,10,67.3,37,0.657,17.5,13,31,0.677,21,1,6,"Knapp Center, Des Moines, Iowa",AIR-FORCE,Air Force,66.1,Home,DRAKE,Drake
2020-12-18-22-nevada,73.7,14,3.8,1,107.2,66.7,16,0.478,46,0.413,19,0.5,23,0.565,13,3,200,82.6,12.5,4,20,57,,14.5,10,0.37,17,0.353,6,35.7,20,0.501,21.1,15,29,0.448,13,0.4,2,"December 18, 2020",75,18,10.3,3,82.6,87.5,28,0.596,47,0.511,24,0.574,27,0.667,18,2,200,107.2,33.3,8,25,74,,8.7,6,0.447,21,0.381,8,64.3,36,0.618,23.4,18,26,0.615,16,0.75,6,"Lawlor Events Center, Reno, Nevada",AIR-FORCE,Air Force,68.9,Home,NEVADA,Nevada
2020-12-20-18-nevada,69.6,16,3.3,1,97.1,63.3,19,0.553,47,0.489,23,0.383,18,0.889,16,3,200,100,16.7,4,19,68,,13.2,9,0.404,19,0.316,6,42.6,23,0.612,19.1,13,28,0.607,17,0.5,3,"December 20, 2020",60.9,14,7.1,2,100,83.3,20,0.444,54,0.426,23,0.481,26,0.692,18,3,200,97.1,36.7,11,19,66,,8.8,6,0.444,24,0.083,2,57.4,31,0.497,19.6,16,30,0.7,21,0.667,6,"Lawlor Events Center, Reno, Nevada",NEVADA,Nevada,68,Away,AIR-FORCE,Air Force
2020-12-31-16-air-force,70.6,24,5.9,1,78.7,76.2,16,0.615,65,0.523,34,0.092,6,0.5,3,3,200,136.1,51.7,15,21,83,,18,11,0.462,30,0.4,12,62,31,0.612,10.6,8,35,0.629,22,0.667,6,"December 31, 2020",70.6,12,5.7,2,136.1,48.3,14,0.542,36,0.472,17,0.389,14,0.643,9,4,200,78.7,23.8,5,11,48,,4.9,3,0.528,19,0.263,5,38,19,0.563,36.3,24,17,0.706,12,0.429,3,"Clune Arena , Colorado Springs, Colorado",AIR-FORCE,Air Force,61.3,Away,UTAH-STATE,Utah State
2021-01-02-18-air-force,50,15,21.2,7,81.5,85.7,24,0.609,55,0.545,30,0.182,10,0.5,5,3,200,110.8,44.4,12,15,72,,10.8,7,0.345,19,0.368,7,65.5,36,0.603,23.3,18,36,0.639,23,0.7,7,"January 2, 2021",42.1,8,8.3,3,110.8,55.6,15,0.457,47,0.404,19,0.255,12,0.833,10,5,200,81.5,14.3,4,15,53,,13.8,9,0.298,14,0.357,5,34.5,19,0.503,23.4,16,33,0.424,14,0.375,3,"Clune Arena , Colorado Springs, Colorado",AIR-FORCE,Air Force,65.2,Away,UTAH-STATE,Utah State
2021-01-06-23-boise-state,43.5,10,3.1,1,113,73.9,17,0.52,49,0.469,23,0.245,12,0.667,8,6,200,85.5,7.4,2,15,59,,8.7,6,0.429,21,0.238,5,38,19,0.539,20.5,14,28,0.643,18,0.333,3,"January 6, 2021",69.2,18,7.1,2,85.5,92.6,25,0.574,54,0.481,26,0.333,18,0.889,16,1,200,113,26.1,6,15,78,,11.6,8,0.407,22,0.455,10,62,31,0.624,18.4,14,32,0.5,16,0.9,9,"ExtraMile Arena, Boise, Idaho",AIR-FORCE,Air Force,68.6,Home,BOISE-STATE,Boise State
2021-01-08-20-boise-state,45.8,11,4.8,2,129,60.7,17,0.633,45,0.533,24,0.289,13,0.923,12,7,200,111.3,10,2,18,69,,3.2,2,0.444,20,0.45,9,39.6,19,0.674,19.1,12,25,0.6,15,0.3,3,"January 8, 2021",41.9,13,12,3,111.3,90,18,0.585,59,0.525,31,0.288,17,0.647,11,1,200,129,39.3,11,18,80,,9.7,6,0.288,17,0.412,7,60.4,29,0.596,8.3,6,42,0.571,24,0.909,10,"ExtraMile Arena, Boise, Idaho",AIR-FORCE,Air Force,61.6,Home,BOISE-STATE,Boise State
2021-01-16-16-air-force,48.1,13,6.1,2,114.3,85.7,24,0.627,51,0.529,27,0.235,12,0.417,5,5,200,109.5,30.8,8,14,69,,3.2,2,0.529,27,0.37,10,59.3,32,0.608,21,15,24,0.708,17,0.583,7,"January 16, 2021",53.6,15,12.5,3,109.5,69.2,18,0.604,53,0.528,28,0.245,13,0.615,8,7,200,114.3,14.3,4,10,72,,17.5,11,0.377,20,0.4,8,40.7,22,0.608,10.7,7,33,0.606,20,0.364,4,"Clune Arena , Colorado Springs, Colorado",WYOMING,Wyoming,62.9,Home,AIR-FORCE,Air Force
2021-01-18-21-air-force,60,15,2.9,1,93.5,82.8,24,0.647,51,0.49,25,0.314,16,0.688,11,5,200,124.2,22.2,6,22,77,,6.5,4,0.627,32,0.5,16,53.6,30,0.657,15.9,11,19,0.474,9,0.615,8,"January 18, 2021",56.5,13,15.8,3,124.2,77.8,21,0.511,46,0.5,23,0.413,19,0.579,11,8,200,93.5,17.2,5,16,58,,8.1,5,0.261,12,0.083,1,46.4,26,0.527,16.8,11,34,0.647,22,0.333,4,"Clune Arena , Colorado Springs, Colorado",AIR-FORCE,Air Force,62.3,Away,WYOMING,Wyoming
2021-01-22-21-air-force,75,27,5.3,1,84.7,89.5,17,0.644,66,0.545,36,0.364,24,0.542,13,4,200,136.1,56.7,17,18,98,,20.8,15,0.439,29,0.448,13,69.4,34,0.633,17.3,16,37,0.622,23,0.714,10,"January 22, 2021",59.1,13,2.7,1,136.1,43.3,13,0.663,40,0.55,22,0.325,13,0.615,8,9,200,84.7,10.5,2,19,61,,12.5,9,0.525,21,0.429,9,30.6,15,0.661,33.5,23,19,0.684,13,0.308,4,"Clune Arena , Colorado Springs, Colorado",AIR-FORCE,Air Force,71.8,Away,SAN-DIEGO-STATE,San Diego State
2021-01-24-22-air-force,67.7,21,12.5,3,92.2,92.9,26,0.65,60,0.517,31,0.3,18,0.722,13,4,200,142.2,48.3,14,18,91,,6.3,4,0.5,30,0.533,16,70.2,40,0.664,15,12,30,0.5,15,0.733,11,"January 24, 2021",76.2,16,6.7,2,142.2,51.7,15,0.556,45,0.467,21,0.356,16,0.563,9,10,200,92.2,7.1,2,20,59,,9.4,6,0.467,21,0.381,8,29.8,17,0.561,17.4,11,24,0.542,13,0.286,4,"Clune Arena , Colorado Springs, Colorado",AIR-FORCE,Air Force,64.1,Away,SAN-DIEGO-STATE,San Diego State
2021-01-28-21-san-jose-state,31.8,7,14.3,4,96.7,73.1,19,0.481,54,0.407,22,0.185,10,0.6,6,11,200,95.1,22.6,7,12,58,,14.8,9,0.537,29,0.276,8,45.6,26,0.494,15.9,11,25,0.56,14,0.267,4,"January 28, 2021",25,6,0,0,95.1,77.4,24,0.563,48,0.5,24,0.208,10,0.5,5,11,200,96.7,26.9,7,12,59,,11.5,7,0.417,20,0.3,6,54.4,31,0.559,21.1,14,28,0.643,18,0.267,4,"San Jose State Event Center, San Jose, California",AIR-FORCE,Air Force,61.3,Home,SAN-JOSE-STATE,San Jose State
2021-01-30-18-san-jose-state,68,17,10.7,3,113.6,81.5,22,0.5,61,0.41,25,0.066,4,0.25,1,12,200,93.9,11.8,4,16,62,,4.5,3,0.607,37,0.297,11,42.6,26,0.493,8.7,6,24,0.583,14,0.25,4,"January 30, 2021",70.4,19,4.2,1,93.9,88.2,30,0.606,52,0.519,27,0.346,18,0.667,12,11,200,113.6,18.5,5,11,75,,4.5,3,0.462,24,0.375,9,57.4,35,0.619,15.5,11,28,0.643,18,0.312,5,"San Jose State Event Center, San Jose, California",AIR-FORCE,Air Force,65.7,Home,SAN-JOSE-STATE,San Jose State
2021-02-06-16-nevada-las-vegas,75,15,2.9,1,119.3,65.2,15,0.598,46,0.435,20,0.152,7,0.429,3,13,200,101.8,16,4,16,58,,5.3,3,0.696,32,0.469,15,39.6,19,0.588,19.6,12,14,0.357,5,0.235,4,"February 6, 2021",51.9,14,7.1,1,101.8,84,21,0.571,49,0.551,27,0.306,15,0.8,12,9,200,119.3,34.8,8,13,68,,12.3,7,0.286,14,0.143,2,60.4,29,0.606,13.9,9,35,0.714,25,0.438,7,"Thomas & Mack Center, Las Vegas, Nevada",AIR-FORCE,Air Force,57.2,Home,NEVADA-LAS-VEGAS,UNLV
